ГЭСН|01|01-02-011|1|Земляные работы|УПЛОТНЕНИЕ ГРУНТА|Устройство непросадочного основания из грунтоцементной смеси с послойным трамбованием|Устройство непросадочного основания из грунтоцементной смеси с послойным трамбованием
ГЭСН|01|01-02-012|10|Земляные работы|УПЛОТНЕНИЕ ГРУНТА|Уплотнение грунтов катками самоходными грунтовыми вибрационными, массой 12-14 т|Уплотнение грунтов катками самоходными грунтовыми вибрационными, массой 12-14 т на первый проход по одному следу толщино
ГЭСН|01|01-02-013|10|Земляные работы|УПЛОТНЕНИЕ ГРУНТА|Уплотнение грунтов катками самоходными грунтовыми вибрационными, массой 18-20 т|Уплотнение грунтов катками самоходными грунтовыми вибрационными, массой 18-20 т на первый проход по одному следу толщино
ГЭСН|01|01-02-014|4|Земляные работы|УПЛОТНЕНИЕ ГРУНТА|Уплотнение грунта вибротрамбовками и виброплитами|Уплотнение грунта вибротрамбовками, группа грунтов: 1-2
ГЭСН|01|01-02-027|20|Земляные работы|СОПУТСТВУЮЩИЕ РАБОТЫ|Планировка площадей, откосов, полотна выемок и насыпей|Планировка площадей: механизированным способом, группа грунтов 1
ГЭСН|01|01-02-055|12|Земляные работы|РАЗРАБОТКА ГРУНТА ВРУЧНУЮ|Разработка грунта вручную с креплениями в траншеях шириной до 2 м|Разработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной: до 2 м, группа грунтов 1
ГЭСН|01|01-02-056|12|Земляные работы|РАЗРАБОТКА ГРУНТА ВРУЧНУЮ|Разработка грунта вручную в траншеях шириной более 2 м и котлованах площадью сечения до 5 м2 с креплениями|Разработка грунта вручную в траншеях шириной более 2 м и котлованах площадью сечения до 5 м2 с креплениями, глубина тран
ГЭСН|01|01-02-057|4|Земляные работы|РАЗРАБОТКА ГРУНТА ВРУЧНУЮ|Разработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами|Разработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами, группа грунтов: 1
ГЭСН|01|01-02-058|8|Земляные работы|РАЗРАБОТКА ГРУНТА ВРУЧНУЮ|Копание ям вручную без креплений для стоек и столбов|Копание ям вручную без креплений для стоек и столбов: без откосов глубиной до 0,7 м, группа грунтов 1
ГЭСН|01|01-02-059|8|Земляные работы|РАЗРАБОТКА ГРУНТА ВРУЧНУЮ|Рытье ям вручную глубиной 1,5 м под электрод заземления с обратной засыпкой|Рытье ям вручную глубиной 1,5 м под электрод заземления с обратной засыпкой, группа грунтов: 1
ГЭСН|01|01-02-060|6|Земляные работы|РАЗРАБОТКА ГРУНТА ВРУЧНУЮ|Погрузка вручную неуплотненного грунта в транспортные средства из штабелей и отвалов|Погрузка вручную неуплотненного грунта из штабелей и отвалов в транспортные средства, группа грунтов: 1
ГЭСН|01|01-02-061|4|Земляные работы|РАЗРАБОТКА ГРУНТА ВРУЧНУЮ|Засыпка вручную траншей, пазух котлованов и ям|Засыпка вручную траншей, пазух котлованов и ям, группа грунтов: 1
ГЭСН|01|01-02-062|12|Земляные работы|РАЗРАБОТКА ГРУНТА ВРУЧНУЮ|Разработка грунта вручную в траншеях на действующей железной дороге|Разработка грунта вручную в траншеях на действующей железной дороге: под путями, группа грунтов 1
ГЭСН|01|01-02-063|6|Земляные работы|РАЗРАБОТКА ГРУНТА ВРУЧНУЮ|Разработка грунта в траншеях и котлованах глубиной более 3 м вручную с подъемом краном при наличии креплений|Разработка грунта в траншеях и котлованах глубиной более 3 м вручную с подъемом краном при наличии креплений, группа гру
ГЭСН|01|01-02-066|2|Земляные работы|РАЗРАБОТКА ГРУНТА ВРУЧНУЮ|Крепление инвентарными щитами стенок траншей шириной до 2 м|Крепление инвентарными щитами стенок траншей шириной до 2 м в грунтах: неустойчивых и мокрых
ГЭСН|01|01-02-067|6|Земляные работы|РАЗРАБОТКА ГРУНТА ВРУЧНУЮ|Крепление досками стенок котлованов и траншей шириной более 2 м|Крепление досками стенок котлованов и траншей шириной: от 2 до 3 м, глубиной до 3 м в грунтах неустойчивых
