norm_code	table_code	table_name	division	unit	norm_name
12-01-033-03	12-01-033	Монтаж кровли из профилированного листа для объектов непроизводственного назначения	КРОВЛИ	100 м2	Монтаж кровли из профилированного листа для объектов непроизводственного назначения: сложной
12-01-034-01	12-01-034	Устройство обрешетки	КРОВЛИ	100 м2	Устройство обрешетки: сплошной из досок
12-01-034-02	12-01-034	Устройство обрешетки	КРОВЛИ	100 м2	Устройство обрешетки с прозорами из брусков
12-01-035-01	12-01-035	Устройство металлической водосточной системы	КРОВЛИ	шт	Устройство металлической водосточной системы: колен
12-01-035-02	12-01-035	Устройство металлической водосточной системы	КРОВЛИ	шт	Устройство металлической водосточной системы: воронок
12-01-035-03	12-01-035	Устройство металлической водосточной системы	КРОВЛИ	м	Устройство металлической водосточной системы: прямых звеньев труб
12-01-036-01	12-01-036	Установка водосточной системы из ПВХ	КРОВЛИ	100 м	Установка водосточной системы из ПВХ: желобов
12-01-036-02	12-01-036	Установка водосточной системы из ПВХ	КРОВЛИ	100 м	Установка водосточной системы из ПВХ: труб
12-01-037-01	12-01-037	Устройство гидроизоляции	КРОВЛИ	100 м2	Устройство гидроизоляции с подготовкой поверхности в 2 слоя из рулонных полимерных материалов: на битумной мастике
12-01-037-02	12-01-037	Устройство гидроизоляции	КРОВЛИ	100 м2	Устройство гидроизоляции с подготовкой поверхности в 2 слоя из рулонных полимерных материалов: вертикальной на битумной мастике с устройством защитного слоя из асбестоцементных лис
12-01-037-03	12-01-037	Устройство гидроизоляции	КРОВЛИ	100 м2	Устройство гидроизоляции с подготовкой поверхности в 2 слоя из рулонных полимерных материалов: горизонтальной с наплавляемым материалом в нижнем слое
12-01-037-04	12-01-037	Устройство гидроизоляции	КРОВЛИ	100 м2	Устройство подкровельной пленочной гидроизоляции
12-01-037-05	12-01-037	Устройство гидроизоляции	КРОВЛИ	100 м2	Устройство гидроизоляции плоских кровель из профилированных мембран
12-01-037-06	12-01-037	Устройство гидроизоляции	КРОВЛИ	100 м	На каждые 100 м примыканий к стенам и парапетам добавлять к норме 12-01-037-05
12-01-038-01	12-01-038	Устройство элементов на скатной кровле из цементно-песчаной черепицы	КРОВЛИ	100 м	Устройство на скатной кровле с покрытием из цементно-песчаной черепицы: разжелобков (ендов)
12-01-038-02	12-01-038	Устройство элементов на скатной кровле из цементно-песчаной черепицы	КРОВЛИ	100 м2	Устройство на скатной кровле с покрытием из цементно-песчаной черепицы: скатов
12-01-038-03	12-01-038	Устройство элементов на скатной кровле из цементно-песчаной черепицы	КРОВЛИ	100 м	Устройство на скатной кровле с покрытием из цементно-песчаной черепицы: ребра
12-01-038-04	12-01-038	Устройство элементов на скатной кровле из цементно-песчаной черепицы	КРОВЛИ	100 м	Устройство на скатной кровле с покрытием из цементно-песчаной черепицы: конька
12-01-038-05	12-01-038	Устройство элементов на скатной кровле из цементно-песчаной черепицы	КРОВЛИ	100 м	Устройство с покрытием из цементно-песчаной черепицы: карнизного свеса кровли
12-01-038-06	12-01-038	Устройство элементов на скатной кровле из цементно-песчаной черепицы	КРОВЛИ	100 м	Устройство с покрытием из цементно-песчаной черепицы: фронтонного свеса кровли
12-01-038-07	12-01-038	Устройство элементов на скатной кровле из цементно-песчаной черепицы	КРОВЛИ	100 м	Устройство примыканий к трубе и стенам на кровле с покрытием из цементно-песчаной черепицы
12-01-038-08	12-01-038	Устройство элементов на скатной кровле из цементно-песчаной черепицы	КРОВЛИ	100 м2	Устройство пароизоляции из пленки для кровли из цементно-песчаной черепицы
12-01-039-01	12-01-039	Устройство кровли из цементно-песчаной черепицы по обрешетке из стального оцинкованного профиля	КРОВЛИ	100 м2	Устройство кровли из цементно-песчаной черепицы по обрешетке из стального оцинкованного профиля
12-01-040-01	12-01-040	Устройство гидроизоляции плоских кровель из полимерных составов методом безвоздушного нанесения	КРОВЛИ	100 м2	Устройство гидроизоляции плоских кровель из полимерных составов методом безвоздушного нанесения: в один слой
12-01-040-02	12-01-040	Устройство гидроизоляции плоских кровель из полимерных составов методом безвоздушного нанесения	КРОВЛИ	100 м2	Устройство гидроизоляции плоских кровель из полимерных составов методом безвоздушного нанесения: на каждый последующий слой добавлять к норме 12-01-040-01
